code,system
J42,icd10
J41,icd10
J40,icd10
866901000000103,icd10
89549007,icd10
185086009,icd10
49691004,icd10
84409004,icd10
52571006,icd10
74417001,icd10
63480004,icd10
61937009,icd10
H5832,icd10
H312z,icd10
H3121,icd10
H312.,icd10
H31y1,icd10
H31..,icd10
H3110,icd10
H3100,icd10
H31y.,icd10
H31yz,icd10
H311z,icd10
H3111,icd10
H310z,icd10
H310.,icd10
H31z.,icd10
H311.,icd10
J44,icd10
H32y.,icd10
Hyu30,icd10
H32yz,icd10
J43,icd10
4981000,icd10
233674008,icd10
66987001,icd10
233677001,icd10
77690003,icd10
87433001,icd10
68328006,icd10
H321.,icd10
H32..,icd10
H32z.,icd10
H322.,icd10
233672007,icd10
313296004,icd10
360470001,icd10
13645005,icd10
10692761000119107,icd10
14B3.,icd10
H36..,icd10
45145000,icd10
H32y2,icd10
196026004,icd10
H4640,icd10
233673002,icd10
H3123,icd10
195959009,icd10
H3201,icd10
32544004,icd10
40100001,icd10
H4641,icd10
313299006,icd10
293991000000106,icd10
H38..,icd10
H39..,icd10
233675009,icd10
196027008,icd10
195958001,icd10
H3200,icd10
195963002,icd10
H32y0,icd10
195957006,icd10
H320z,icd10
H320.,icd10
16003001,icd10
H3202,icd10
135836000,icd10
H3A..,icd10
266355005,icd10
H3203,icd10
313297008,icd10
H37..,icd10
195949008,icd10
H3120,icd10
195953005,icd10
H313.,icd10
266356006,icd10
H32y1,icd10
H3y..,icd10
Hyu31,icd10
H3122,icd10
H3y1.,icd10
H3y0.,icd10
H3z..,icd10
H3...,icd10